8,"Casa sola en Venta, en Los Vinedos, Torreon",4280000,3,279,"Los Vinedos, Torreon",https://www.lamudi.com.mx/casa-sola-en-venta-en-los-vinedos-torreon-7.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/45931eaa0de846.jpg,25.5782,-103.385,8,15340.5
9,"¡Preventa! Casa en Venta, Cerrada Corzo, Sector Vinedos, Torreon, Coahuila",3500000,3,295,"Los Vinedos, Torreon",https://www.lamudi.com.mx/preventa-casa-en-venta-cerrada-corzo-sector-vinedos-torreon-coahuila.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/f47e2f903ed660.jpg,25.5782,-103.385,8,11864.4
10,"Casa en Venta en Palma Real, Vinedos.",2700000,3,245,"Los Vinedos, Torreon",https://www.lamudi.com.mx/casa-en-venta-en-palma-real-vinedos-91.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/eeffeb28100c7d.jpg,25.5782,-103.385,8,11020.4
11,"Casa en venta, Fraccionamiento los Vinedos, Torreon Coah.",2550000,3,244,"Los Vinedos, Torreon",https://www.lamudi.com.mx/casa-en-venta-fraccionamiento-los-vinedos-torreon-coah.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/f443ec9cfb5843.jpg,25.5782,-103.385,8,10450.8
12,CASA CON ALBERCA EN VENTA ZONA VINEDOS TORREON,2180000,3,180,"Los Vinedos, Torreon",https://www.lamudi.com.mx/casa-con-alberca-en-venta-zona-vinedos-torreon.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/8ff6bf77f37467.jpg,25.5782,-103.385,8,12111.1
13,CASA EN VENTA FRACCIONAMIENTO CERRADO EN VINEDOS,1925000,3,176,"Los Vinedos, Torreon",https://www.lamudi.com.mx/casa-en-venta-fraccionamiento-cerrado-en-vinedos.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/13524cee3a4fb1.jpg,25.5782,-103.385,8,10937.5
14,CASA EN VENTA EN VINEDOS  CON 2 HABITACIONES EN PLANTA BAJA EN FRACC EXCLUSIVO,2600000,2,224,"Los Vinedos, Torreon",https://www.lamudi.com.mx/casa-en-venta-en-vinedos-con-2-habitaciones-en-planta-baja-en-fracc-exclusivo.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/8482c85db1d462.jpg,25.5782,-103.385,8,11607.1
15,CASA NUEVA EN VINEDOS CON RECAMARA EN PLANTA BAJA,2400000,4,216,"Los Vinedos, Torreon",https://www.lamudi.com.mx/casa-nueva-en-vinedos-con-recamara-en-planta-baja.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/67eb6b782db542.jpg,25.5782,-103.385,8,11111.1
16,Casa en Venta en Vinedos,3250000,3,262,"Los Vinedos, Torreon",https://www.lamudi.com.mx/casa-en-venta-en-vinedos-78.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/fcbe9c1ff25246.jpg,25.5782,-103.385,8,12404.6
17,Casa en Venta en Cerrada sector vinedos,2449000,3,235,"Los Vinedos, Torreon",https://www.lamudi.com.mx/casa-en-venta-en-cerrada-sector-vinedos.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/99dffbf1e01208.jpg,25.5782,-103.385,8,10421.3
18,"¡Nuevas! Casa en Venta con Recamara en Planta Baja, Sector Vinedos, Torreon, Coahuila",2290000,3,174,"Los Vinedos, Torreon",https://www.lamudi.com.mx/nuevas-casa-en-venta-con-recamara-en-planta-baja-sector-vinedos-torreon-coahuila.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/ee2692732e7d4b.jpg,25.5782,-103.385,8,13160.9
19,Casa en Venta en Vinedos Fraccionamiento Lomas con alberca,2900000,3,275,"Los Vinedos, Torreon",https://www.lamudi.com.mx/casa-en-venta-en-vinedos-fraccionamiento-lomas-con-alberca.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/84d1d98c1f9b8d.jpg,25.5782,-103.385,8,10545.5
20,Casa  Club En venta,2900000,3,270,"Los Vinedos, Torreon",https://www.lamudi.com.mx/casa-club-en-venta.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/5ae8e0bd431fff.jpg,25.5782,-103.385,8,10740.7
21,CASA CON ALBERCA EN VENTA ZONA VINEDOS PALMA REAL TORREON,2180000,3,180,"Los Vinedos, Torreon",https://www.lamudi.com.mx/casa-con-alberca-en-venta-zona-vinedos-palma-real-torreon.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/b49410d02b5bd7.jpg,25.5782,-103.385,8,12111.1
22,"Casa con Recamara en Planta Baja, Sector Vinedos, Torreon, Coahuila",3200000,3,257,"Los Vinedos, Torreon",https://www.lamudi.com.mx/casa-con-recamara-en-planta-baja-sector-vinedos-torreon-coahuila.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/3c3f0cbe96af36.jpg,25.5782,-103.385,8,12451.4
23,"Casa en Venta, Torreon, Coahuila de Zaragoza",2300000,3,182,"Los Vinedos, Torreon",https://www.lamudi.com.mx/casa-en-venta-torreon-coahuila-de-zaragoza-798.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/973a9abe6cfd20.jpg,25.5782,-103.385,8,12637.4
24,Casa en Venta en Los Vinedos,2179740,3,185,"Los Vinedos, Torreon",https://www.lamudi.com.mx/casa-en-venta-en-los-vinedos-1196.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/76a564c591260e.jpg,25.5782,-103.385,8,11782.4
25,Casa en Venta en Los Vinedos,1815000,3,175,"Los Vinedos, Torreon",https://www.lamudi.com.mx/casa-en-venta-en-los-vinedos-1191.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/da0c363a98029e.jpg,25.5782,-103.385,8,10371.4
26,Casa en Venta en Los Vinedos,1947000,3,150,"Los Vinedos, Torreon",https://www.lamudi.com.mx/casa-en-venta-en-los-vinedos-1200.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/b3c0394f4c191a.jpg,25.5782,-103.385,8,12980
27,Casa en Venta en Los Vinedos,2350000,3,201,"Los Vinedos, Torreon",https://www.lamudi.com.mx/casa-en-venta-en-los-vinedos-1193.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/72900f6734267a.jpg,25.5782,-103.385,8,11691.5
